Row_Index,Missing_Count,Missing_Percentage
263045,3,14.285714285714285
63268,3,14.285714285714285
98111,3,14.285714285714285
173904,3,14.285714285714285
129434,3,14.285714285714285
88975,3,14.285714285714285
6486,3,14.285714285714285
100580,3,14.285714285714285
66859,3,14.285714285714285
67444,3,14.285714285714285
31623,3,14.285714285714285
266879,3,14.285714285714285
249505,3,14.285714285714285
185436,3,14.285714285714285
213663,3,14.285714285714285
776,3,14.285714285714285
236726,3,14.285714285714285
11640,3,14.285714285714285
214827,3,14.285714285714285
53618,3,14.285714285714285
34178,3,14.285714285714285
194891,3,14.285714285714285
46665,3,14.285714285714285
3047,3,14.285714285714285
268932,3,14.285714285714285
167921,3,14.285714285714285
220051,3,14.285714285714285
75956,3,14.285714285714285
256396,3,14.285714285714285
155611,3,14.285714285714285
223745,3,14.285714285714285
236271,3,14.285714285714285
123634,3,14.285714285714285
120324,3,14.285714285714285
179619,3,14.285714285714285
220451,3,14.285714285714285
195768,3,14.285714285714285
106583,3,14.285714285714285
85815,3,14.285714285714285
183170,3,14.285714285714285
172400,3,14.285714285714285
27394,3,14.285714285714285
4189,3,14.285714285714285
178853,3,14.285714285714285
55820,3,14.285714285714285
114168,3,14.285714285714285
39461,3,14.285714285714285
27588,3,14.285714285714285
161604,3,14.285714285714285
127141,3,14.285714285714285
153289,3,14.285714285714285
90126,3,14.285714285714285
38895,3,14.285714285714285
286472,3,14.285714285714285
286938,3,14.285714285714285
292639,3,14.285714285714285
299992,3,14.285714285714285
303618,3,14.285714285714285
310940,3,14.285714285714285
312528,3,14.285714285714285
318754,3,14.285714285714285
327157,3,14.285714285714285
333127,3,14.285714285714285
333774,3,14.285714285714285
340762,3,14.285714285714285
343022,3,14.285714285714285
343895,3,14.285714285714285
350928,3,14.285714285714285
351257,3,14.285714285714285
354068,3,14.285714285714285
355304,3,14.285714285714285
360130,3,14.285714285714285
366673,3,14.285714285714285
369006,3,14.285714285714285
369657,3,14.285714285714285
377126,3,14.285714285714285
380703,3,14.285714285714285
397373,3,14.285714285714285
399685,3,14.285714285714285
419616,3,14.285714285714285
425568,3,14.285714285714285
442081,3,14.285714285714285
447478,3,14.285714285714285
474570,3,14.285714285714285
482375,3,14.285714285714285
485436,3,14.285714285714285
490650,3,14.285714285714285
494454,3,14.285714285714285
529449,3,14.285714285714285
539761,3,14.285714285714285
